issue,url,canonical_path,last_crawled,route_type,business_value,action
Crawled currently not indexed,https://shaffercon.com/industry-insights/a-closer-look-at-our-load-study-services-and-why-your-ev-business-needs-them/,/industry-insights/a-closer-look-at-our-load-study-services-and-why-your-ev-business-needs-them/,2026-03-05,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/accelerating-electric-vehicle-adoption-the-importance-of-expanding-ev-charger-infrastructure,/industry-insights/accelerating-electric-vehicle-adoption-the-importance-of-expanding-ev-charger-infrastructure/,2025-12-20,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/accelerating-ev-adoption-the-latest-trends-in-los-angeles-charging-infrastructure-and-what-they-mean-for-your-property/,/industry-insights/accelerating-ev-adoption-the-latest-trends-in-los-angeles-charging-infrastructure-and-what-they-mean-for-your-property/,2026-01-16,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/advancements-in-electric-vehicle-charging-trends-innovations-and-their-impact-on-urban-development/,/industry-insights/advancements-in-electric-vehicle-charging-trends-innovations-and-their-impact-on-urban-development/,2026-01-01,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/californias-ev-charging-boom-how-los-angeles-is-leading-the-electric-vehicle-infrastructure-revolution/,/industry-insights/californias-ev-charging-boom-how-los-angeles-is-leading-the-electric-vehicle-infrastructure-revolution/,2025-12-29,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/commercial-electrical-code-compliance-los-angeles/,/industry-insights/commercial-electrical-code-compliance-los-angeles/,2025-12-20,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/commercial-ev-charging-stations-roi-guide-los-angeles,/industry-insights/commercial-ev-charging-stations-roi-guide-los-angeles/,2026-02-03,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/do-i-need-panel-upgrade-install-ev-charger/,/industry-insights/do-i-need-panel-upgrade-install-ev-charger/,2026-01-22,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electric-vehicle-charging-in-los-angeles-key-insights-and-future-trends/,/industry-insights/electric-vehicle-charging-in-los-angeles-key-insights-and-future-trends/,2026-03-11,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electric-vehicles-mitsubishi-chargers/,/industry-insights/electric-vehicles-mitsubishi-chargers/,2026-03-31,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electrical-service-upgrade-100-to-200-amp-guide/,/industry-insights/electrical-service-upgrade-100-to-200-amp-guide/,2025-12-23,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electrician-pasadena-ev-chargers,/industry-insights/electrician-pasadena-ev-chargers/,2026-01-18,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electrician-redondo-beach-ev-charger/,/industry-insights/electrician-redondo-beach-ev-charger/,2026-02-03,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electrician-san-gabriel-vehicle-charging/,/industry-insights/electrician-san-gabriel-vehicle-charging/,2026-01-14,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/electricians-baldwin-park-ev-installation/,/industry-insights/electricians-baldwin-park-ev-installation/,2026-03-21,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead,/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead/,2025-12-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charger-installation-and-infrastructure-what-every-los-angeles-property-owner-needs-to-know/,/industry-insights/ev-charger-installation-and-infrastructure-what-every-los-angeles-property-owner-needs-to-know/,2026-02-13,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charger-installation-guide-for-los-angeles-plan-permit-install-and-futureproof/,/industry-insights/ev-charger-installation-guide-for-los-angeles-plan-permit-install-and-futureproof/,2025-12-26,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charger-installation-guide/,/industry-insights/ev-charger-installation-guide/,2026-01-16,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charger-installation-in-los-angeles-what-property-owners-need-to-know/,/industry-insights/ev-charger-installation-in-los-angeles-what-property-owners-need-to-know/,2026-03-22,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charger-installation-infrastructure-how-to-decide-pay-for-and-plan-your-project/,/industry-insights/ev-charger-installation-infrastructure-how-to-decide-pay-for-and-plan-your-project/,2025-12-29,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-for-property-owners-whats-improving-what-still-matters-a-guide-from-shaffer-construction-inc/,/industry-insights/ev-charging-for-property-owners-whats-improving-what-still-matters-a-guide-from-shaffer-construction-inc/,2026-03-07,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-for-property-owners-whats-improving-what-still-matters-a-guide-from-shaffer-construction-inc,/industry-insights/ev-charging-for-property-owners-whats-improving-what-still-matters-a-guide-from-shaffer-construction-inc/,2025-12-10,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-california-types-installation-challenges-and-future-proof-solutions-for-homes-and-businesses/,/industry-insights/ev-charging-in-california-types-installation-challenges-and-future-proof-solutions-for-homes-and-businesses/,2026-01-14,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-california-what-property-owners-need-to-know-about-fast-chargers-funding-and-air-quality,/industry-insights/ev-charging-in-california-what-property-owners-need-to-know-about-fast-chargers-funding-and-air-quality/,2025-12-07,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-california-what-property-owners-need-to-know-about-fast-chargers-funding-and-air-quality/,/industry-insights/ev-charging-in-california-what-property-owners-need-to-know-about-fast-chargers-funding-and-air-quality/,2025-12-07,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-costs-grid-programs-v2g-and-how-to-avoid-common-installation-regrets/,/industry-insights/ev-charging-in-los-angeles-costs-grid-programs-v2g-and-how-to-avoid-common-installation-regrets/,2026-03-18,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-costs-grid-programs-v2g-and-how-to-avoid-common-installation-regrets,/industry-insights/ev-charging-in-los-angeles-costs-grid-programs-v2g-and-how-to-avoid-common-installation-regrets/,2025-12-03,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,2026-03-06,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners,/industry-insights/ev-charging-in-los-angeles-key-trends-incentives-and-installation-tips-for-property-owners/,2025-11-26,blog,5,Consolidate into a stronger commercial page or refresh
Crawled currently not indexed,https://shaffercon.com/industry-insights/ev-charging-in-los-angeles-where-the-network-is-headed-and-how-property-owners-can-prepare/,/industry-insights/ev-charging-in-los-angeles-where-the-network-is-headed-and-how-property-owners-can-prepare/,2026-03-21,blog,5,Consolidate into a stronger commercial page or refresh
