rank,url,path,clicks,impressions,ctr,position,business_value,score,action
1,https://shaffercon.com/industry-insights/subpanel-installation-guide-when-why-you-need-one/,/industry-insights/subpanel-installation-guide-when-why-you-need-one/,12,3088,0.0039000000000000003,9.1,5,24.813,"Rewrite title, meta, intro, CTA, and internal links"
2,https://shaffercon.com/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,72,19736,0.0036,7.29,4,24.535,Improve snippet and add stronger hiring intent
3,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,57,9745,0.0058,14.27,5,23.462,"Rewrite title, meta, intro, CTA, and internal links"
4,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,/industry-insights/california-title-24-electrical-requirements-renovations/,59,10882,0.0054,9.12,4,22.477,Improve snippet and add stronger hiring intent
5,https://shaffercon.com/industry-insights/panel-upgrades-the-essentials-of-zinsco-panel-upgrade-or-replacement/,/industry-insights/panel-upgrades-the-essentials-of-zinsco-panel-upgrade-or-replacement/,6,1115,0.0054,7.64,5,21.212,"Rewrite title, meta, intro, CTA, and internal links"
6,https://shaffercon.com/industry-insights/federal-pacific-zinsco-panels-replacement-los-angeles/,/industry-insights/federal-pacific-zinsco-panels-replacement-los-angeles/,3,881,0.0034000000000000002,7.01,5,21.09,"Rewrite title, meta, intro, CTA, and internal links"
7,https://shaffercon.com/industry-insights/retail-store-electrical-planning-design-guide/,/industry-insights/retail-store-electrical-planning-design-guide/,1,697,0.0014000000000000002,6.65,5,20.931,"Rewrite title, meta, intro, CTA, and internal links"
8,https://shaffercon.com/industry-insights/passing-electrical-inspection-common-failures-fixes/,/industry-insights/passing-electrical-inspection-common-failures-fixes/,28,5486,0.0051,5.82,4,20.91,Improve snippet and add stronger hiring intent
9,https://shaffercon.com/industry-insights/recessed-lighting-installation-guide/,/industry-insights/recessed-lighting-installation-guide/,28,4894,0.005699999999999999,5.81,4,20.456,Improve snippet and add stronger hiring intent
10,https://shaffercon.com/industry-insights/ultimate-guide-home-ev-charger-installation-los-angeles/,/industry-insights/ultimate-guide-home-ev-charger-installation-los-angeles/,0,528,0.0,7.71,5,20.426,"Rewrite title, meta, intro, CTA, and internal links"
11,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,58,25582,0.0023,6.59,3,19.227,Monitor or improve after higher value pages
12,https://shaffercon.com/industry-insights/electric-vehicles-mitsubishi-chargers/,/industry-insights/electric-vehicles-mitsubishi-chargers/,0,336,0.0,6.71,5,18.957,"Rewrite title, meta, intro, CTA, and internal links"
13,https://shaffercon.com/service-areas/long-beach/commercial-backup-generator-installation/,/service-areas/long-beach/commercial-backup-generator-installation/,0,298,0.0,8.69,5,18.568,"Rewrite title, meta, intro, CTA, and internal links"
14,https://shaffercon.com/service-areas/glendale/commercial-exhaust-fan-ventilation-wiring/,/service-areas/glendale/commercial-exhaust-fan-ventilation-wiring/,0,633,0.0,14.23,5,17.863,"Rewrite title, meta, intro, CTA, and internal links"
15,https://shaffercon.com/service-areas/long-beach/commercial-backup-generator-installation,/service-areas/long-beach/commercial-backup-generator-installation/,0,521,0.0,10.18,5,17.325,"Rewrite title, meta, intro, CTA, and internal links"
16,https://shaffercon.com/industry-insights/retail-store-electrical-planning-design-guide,/industry-insights/retail-store-electrical-planning-design-guide/,0,166,0.0,5.84,5,16.67,"Rewrite title, meta, intro, CTA, and internal links"
17,https://shaffercon.com/industry-insights/the-ultimate-guide-to-ev-charger-installation-and-infrastructure-in-los-angeles,/industry-insights/the-ultimate-guide-to-ev-charger-installation-and-infrastructure-in-los-angeles/,1,226,0.0044,8.12,5,16.634,"Rewrite title, meta, intro, CTA, and internal links"
18,https://shaffercon.com/service-areas/long-beach/residential-ev-charger-installation/,/service-areas/long-beach/residential-ev-charger-installation/,0,156,0.0,9.31,5,16.469,"Rewrite title, meta, intro, CTA, and internal links"
19,https://shaffercon.com/industry-insights/the-rise-of-ev-charging-infrastructure-trends-challenges-and-solutions-for-the-future,/industry-insights/the-rise-of-ev-charging-infrastructure-trends-challenges-and-solutions-for-the-future/,0,154,0.0,9.27,5,16.427,"Rewrite title, meta, intro, CTA, and internal links"
20,https://shaffercon.com/industry-insights/electrical-service-upgrade-100-to-200-amp-guide,/industry-insights/electrical-service-upgrade-100-to-200-amp-guide/,0,150,0.0,7.89,5,16.342,"Rewrite title, meta, intro, CTA, and internal links"
