rank,url,path,route_type,clicks,impressions,ctr,expected_ctr,missed_clicks,position,business_value,score,need,top_queries,action
1,https://shaffercon.com/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,blog,72,19853,0.003626655921019493,0.025,424.3,7.28,5,112.673,ctr,ladbs permit; ladbs plan check process timeline; ladbs electrical permit application; electrical panel upgrade permit los angeles; ladbs permit application,"CTR fix, rewrite title and meta around proven queries"
2,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,blog,61,26066,0.0023402133046880992,0.025,590.7,6.63,4,105.986,ctr,what nec® article covers the rules necessary for the installation of appliances?; kitchen electrical installation; kitchen wiring; kitchen electrical; the typical minimum circuit for a kitchen range (stove) is ________.,"CTR fix, rewrite title and meta around proven queries"
3,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,/industry-insights/california-title-24-electrical-requirements-renovations/,blog,59,10946,0.005390096839027955,0.025,214.7,9.11,4,50.839,ctr,california residential electrical circuit requirements; what electrical work can homeowner do legally california; 24 electrical; california electrical code; what happens if you do electrical work without permit california,"CTR fix, rewrite title and meta around proven queries"
4,https://shaffercon.com/industry-insights/passing-electrical-inspection-common-failures-fixes/,/industry-insights/passing-electrical-inspection-common-failures-fixes/,blog,31,5849,0.005300051290818944,0.025,115.2,5.91,5,40.539,ctr,what happens if electrical inspection reveals code violations; electrical inspection failed code violations consequences process; what will fail an electrical inspection; final electrical inspection; home fails electrical inspection,"CTR fix, rewrite title and meta around proven queries"
5,https://shaffercon.com/industry-insights/recessed-lighting-installation-guide/,/industry-insights/recessed-lighting-installation-guide/,blog,28,5011,0.0055877070445020955,0.025,97.3,5.89,4,29.197,ctr,recessed lighting installation los angeles; recessed lighting los angeles; recessed lighting installation los angeles; fixture meets cm standards; what are the rules for installing recessed lighting,"CTR fix, rewrite title and meta around proven queries"
6,https://shaffercon.com/industry-insights/subpanel-installation-guide-when-why-you-need-one/,/industry-insights/subpanel-installation-guide-when-why-you-need-one/,blog,12,3088,0.0038860103626943004,0.025,65.2,9.1,5,28.826,ctr,"how are bus bars connected? in los angeles, california; how are bus bars connected? in los angeles, california near me; commercial electrical subpanel installation; electrical subpanel electrician; what is a subpanel","CTR fix, rewrite title and meta around proven queries"
7,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,blog,63,10175,0.006191646191646191,0.012,59.1,13.98,5,27.098,links,upgrade electrical panel; electrical service upgrade; electrical panel upgrade; panel upgrade; electrical panel upgrade los angeles,"Ranking lift, add internal links and local proof"
8,https://shaffercon.com/industry-insights/california-2026-building-code-ev-charging-requirements-home-real-estate-trend-32-new-models/,/industry-insights/california-2026-building-code-ev-charging-requirements-home-real-estate-trend-32-new-models/,blog,69,18825,0.0036653386454183266,0.025,401.6,5.6,1,21.443,ctr,california public ev chargers 2026; california ev charging station business market 2025 2026; ev charger requirement new home altadena; ev charger requirement new home los angeles; ev charger requirement new home pacific palisades,Deprioritize unless it supports a money page
9,https://shaffercon.com/industry-insights/dedicated-circuits-when-why-home-appliances-need-them/,/industry-insights/dedicated-circuits-when-why-home-appliances-need-them/,blog,14,3937,0.003556007112014224,0.025,84.4,9.79,3,19.892,ctr,dedicated circuits; dedicated circuit installation; california house circuit requirements; california house circuit safety regulations; which household appliances require dedicated electrical circuits,"CTR fix, rewrite title and meta around proven queries"
10,https://shaffercon.com/industry-insights/panel-upgrades-the-essentials-of-zinsco-panel-upgrade-or-replacement/,/industry-insights/panel-upgrades-the-essentials-of-zinsco-panel-upgrade-or-replacement/,blog,6,1128,0.005319148936170213,0.025,22.2,7.63,5,18.652,ctr,zinsco panel replacement; zinsco electrical panel replacement; replacing zinsco panel; zinsco panel upgrade; zinsco panel replacement denver co,"CTR fix, rewrite title and meta around proven queries"
